plotID,datetime,SM_10,SM_20
AEG36,2018,32.81576,NA
AEG36,2019,39.00742,NA
AEG36,2020,NA,NA
AEG37,2009,NA,NA
AEG37,2010,NA,NA
AEG37,2011,NA,NA
AEG37,2012,NA,NA
AEG37,2013,NA,NA
AEG37,2014,NA,NA
AEG37,2015,NA,NA
AEG37,2016,NA,NA
AEG37,2017,NA,NA
AEG37,2018,NA,NA
AEG37,2019,NA,NA
AEG37,2020,NA,NA
AEG38,2010,NA,NA
AEG38,2011,NA,NA
AEG38,2012,43.35068,NA
AEG38,2013,NA,NA
AEG38,2014,NA,NA
AEG38,2015,NA,NA
AEG38,2016,44.19680,NA
AEG38,2017,45.72540,NA
AEG38,2018,NA,NA
AEG38,2019,39.26156,NA
AEG38,2020,NA,NA
AEG39,2009,NA,NA
AEG39,2010,NA,NA
AEG39,2011,34.02047,NA
AEG39,2012,28.92549,NA
AEG39,2013,NA,NA
AEG39,2014,33.13530,NA
AEG39,2015,33.86382,NA
AEG39,2016,32.64537,NA
AEG39,2017,35.46505,NA
AEG39,2018,NA,NA
AEG39,2019,NA,NA
AEG39,2020,NA,NA
AEG40,2009,NA,NA
AEG40,2010,38.68056,NA
AEG40,2011,36.68062,NA
AEG40,2012,39.85469,NA
AEG40,2013,NA,NA
AEG40,2014,NA,NA
AEG40,2015,36.53127,NA
AEG40,2016,NA,NA
AEG40,2017,37.16310,NA
AEG40,2018,32.00105,NA
AEG40,2019,35.50107,NA
AEG40,2020,NA,NA
AEG41,2009,NA,NA
AEG41,2010,46.07505,NA
AEG41,2011,44.75301,NA
AEG41,2012,37.77535,NA
AEG41,2013,NA,NA
AEG41,2014,NA,NA
AEG41,2015,29.88900,NA
AEG41,2016,30.04570,NA
AEG41,2017,32.24089,NA
AEG41,2018,NA,NA
AEG41,2019,NA,NA
AEG41,2020,NA,NA
AEG42,2009,NA,NA
AEG42,2010,NA,NA
AEG42,2011,NA,NA
AEG42,2012,NA,NA
AEG42,2013,42.40322,NA
AEG42,2014,40.98231,NA
AEG42,2015,37.80595,NA
AEG42,2016,NA,NA
AEG42,2017,37.26500,NA
AEG42,2018,33.79140,NA
AEG42,2019,37.52704,NA
AEG42,2020,NA,NA
AEG43,2009,NA,NA
AEG43,2010,NA,NA
AEG43,2011,41.09212,NA
AEG43,2012,40.72710,NA
AEG43,2013,43.86523,NA
AEG43,2014,NA,NA
AEG43,2015,NA,NA
AEG43,2016,NA,NA
AEG43,2017,NA,NA
AEG43,2018,31.15633,NA
AEG43,2019,37.48552,NA
AEG43,2020,NA,NA
AEG44,2008,NA,NA
AEG44,2009,NA,NA
AEG44,2010,45.50755,NA
AEG44,2011,45.33571,NA
AEG44,2012,44.61960,NA
AEG44,2013,48.57045,NA
AEG44,2014,NA,NA
AEG44,2015,NA,NA
AEG44,2016,35.97897,NA
AEG44,2017,39.91136,NA
AEG44,2018,33.35061,NA
AEG44,2019,NA,NA
AEG45,2009,NA,NA
AEG45,2010,NA,NA
AEG45,2011,NA,NA
AEG45,2012,NA,NA
AEG45,2013,NA,NA
AEG45,2014,NA,NA
AEG45,2015,NA,NA
AEG45,2016,NA,NA
AEG45,2017,NA,NA
AEG45,2018,NA,NA
AEG45,2019,NA,NA
AEG45,2020,NA,NA
AEG45,2021,NA,NA
AEG45,2022,NA,NA
AEG45,2023,NA,NA
AEG45,2024,NA,NA
AEG45,2025,NA,NA
AEG45,2026,NA,NA
AEG45,2027,NA,NA
AEG45,2028,NA,NA
AEG45,2029,NA,NA
AEG45,2030,NA,NA
AEG45,2031,NA,NA
AEG45,2032,NA,NA
AEG45,2033,NA,NA
AEG45,2034,NA,NA
AEG45,2035,NA,NA
AEG45,2036,NA,NA
AEG45,2037,NA,NA
AEG45,2038,NA,NA
AEG45,2039,NA,NA
AEG45,2040,NA,NA
AEG45,2041,NA,NA
AEG45,2042,NA,NA
AEG45,2043,NA,NA
AEG45,2044,NA,NA
AEG45,2045,NA,NA
AEG45,2046,NA,NA
AEG45,2047,NA,NA
AEG45,2048,NA,NA
AEG45,2049,NA,NA
AEG45,2050,NA,NA
AEG45,2051,NA,NA
AEG45,2052,NA,NA
AEG45,2053,NA,NA
AEG45,2054,NA,NA
AEG45,2055,NA,NA
AEG45,2056,NA,NA
AEG45,2057,NA,NA
AEG45,2058,NA,NA
